icd,description,mi,heartfailure
I00,Rheumatic fever without mention of heart involvement,0,0
I01,Rheumatic fever with heart involvement,0,0
I010,Acute rheumatic pericarditis,0,0
I011,Acute rheumatic endocarditis,0,0
I012,Acute rheumatic myocarditis,0,0
I018,Other acute rheumatic heart disease,0,0
I019,"Acute rheumatic heart disease, unspecified",0,0
I02,Rheumatic chorea,0,0
I020,Rheumatic chorea with heart involvement,0,0
I029,Rheumatic chorea without heart involvement,0,0
I05,Rheumatic mitral valve diseases,0,0
I050,Mitral stenosis,0,0
I051,Rheumatic mitral insufficiency,0,0
I052,Mitral stenosis with insufficiency,0,0
I058,Other mitral valve diseases,0,0
I059,"Mitral valve disease, unspecified",0,0
I06,Rheumatic aortic valve diseases,0,0
I060,Rheumatic aortic stenosis,0,0
I061,Rheumatic aortic insufficiency,0,0
I062,Rheumatic aortic stenosis with insufficiency,0,0
I068,Other rheumatic aortic valve diseases,0,0
I069,"Rheumatic aortic valve disease, unspecified",0,0
I07,Rheumatic tricuspid valve diseases,0,0
I070,Tricuspid stenosis,0,0
I071,Tricuspid insufficiency,0,0
I072,Tricuspid stenosis with insufficiency,0,0
I078,Other tricuspid valve diseases,0,0
I079,"Tricuspid valve disease, unspecified",0,0
I08,Multiple valve diseases,0,0
I080,Disorders of both mitral and aortic valves,0,0
I081,Disorders of both mitral and tricuspid valves,0,0
I082,Disorders of both aortic and tricuspid valves,0,0
I083,"Combined disorders of mitral, aortic and tricuspid valves",0,0
I088,Other multiple valve diseases,0,0
I089,"Multiple valve disease, unspecified",0,0
I09,Other rheumatic heart diseases,0,0
I090,Rheumatic myocarditis,0,0
I091,"Rheumatic diseases of endocardium, valve unspecified",0,0
I092,Chronic rheumatic pericarditis,0,0
I098,Other specified rheumatic heart diseases,0,0
I099,"Rheumatic heart disease, unspecified",0,0
I10,Essential (primary) hypertension,0,0
I11,Hypertensive heart disease,0,0
I110,Hypertensive heart disease with (congestive) heart failure,0,0
I119,Hypertensive heart disease without (congestive) heart failure,0,0
I12,Hypertensive renal disease,0,0
I120,Hypertensive renal disease with renal failure,0,0
I129,Hypertensive renal disease without renal failure,0,0
I13,Hypertensive heart and renal disease,0,0
I130,Hypertensive heart and renal disease with (congestive) heart failure,0,0
I131,Hypertensive heart and renal disease with renal failure,0,0
I132,Hypertensive heart and renal disease with both (congestive) heart failure and renal failure,0,0
I139,"Hypertensive heart and renal disease, unspecified",0,0
I15,Secondary hypertension,0,0
I150,Renovascular hypertension,0,0
I151,Hypertension secondary to other renal disorders,0,0
I152,Hypertension secondary to endocrine disorders,0,0
I158,Other secondary hypertension,0,0
I159,"Secondary hypertension, unspecified",0,0
I20,Angina pectoris,0,0
I200,Unstable angina,0,0
I201,Angina pectoris with documented spasm,0,0
I208,Other forms of angina pectoris,0,0
I209,"Angina pectoris, unspecified",0,0
I21,Acute myocardial infarction,1,0
I210,Acute transmural myocardial infarction of anterior wall,1,0
I211,Acute transmural myocardial infarction of inferior wall,1,0
I212,Acute transmural myocardial infarction of other sites,1,0
I213,Acute transmural myocardial infarction of unspecified site,1,0
I214,Acute subendocardial myocardial infarction,1,0
I219,"Acute myocardial infarction, unspecified",1,0
I22,Subsequent myocardial infarction,1,0
I220,Subsequent myocardial infarction of anterior wall,1,0
I221,Subsequent myocardial infarction of inferior wall,1,0
I228,Subsequent myocardial infarction of other sites,1,0
I229,Subsequent myocardial infarction of unspecified site,1,0
I23,Certain current complications following acute myocardial infarction,1,0
I230,Haemopericardium as current complication following acute myocardial infarction,1,0
I231,Atrial septal defect as current complication following acute myocardial infarction,1,0
I232,Ventricular septal defect as current complication following acute myocardial infarction,1,0
I233,Rupture of cardiac wall without haemopericardium as current complication following acute myocardial infarction,1,0
I234,Rupture of chordae tendineae as current complication following acute myocardial infarction,1,0
I235,Rupture of papillary muscle as current complication following acute myocardial infarction,1,0
I236,"Thrombosis of atrium, auricular appendage, and ventricle as current complications following acute myocardial infarction",1,0
I238,Other current complications following acute myocardial infarction,1,0
I24,Other acute ischaemic heart diseases,0,0
I240,Coronary thrombosis not resulting in myocardial infarction,0,0
I241,Dressler's syndrome,0,0
I248,Other forms of acute ischaemic heart disease,0,0
I249,"Acute ischaemic heart disease, unspecified",0,0
I25,Chronic ischaemic heart disease,0,0
I250,"Atherosclerotic cardiovascular disease, so described",0,0
I251,Atherosclerotic heart disease,0,0
I252,Old myocardial infarction,0,0
I253,Aneurysm of heart,0,0
I254,Coronary artery aneurysm,0,0
I255,Ischaemic cardiomyopathy,0,0
I256,Silent myocardial ischaemia,0,0
I258,Other forms of chronic ischaemic heart disease,0,0
I259,"Chronic ischaemic heart disease, unspecified",0,0
I26,Pulmonary embolism,0,0
I260,Pulmonary embolism with mention of acute cor pulmonale,0,0
I269,Pulmonary embolism without mention of acute cor pulmonale,0,0
I27,Other pulmonary heart diseases,0,0
I270,Primary pulmonary hypertension,0,0
I271,Kyphoscoliotic heart disease,0,0
I272,Other secondary pulmonary hypertension,0,0
I278,Other specified pulmonary heart diseases,0,0
I279,"Pulmonary heart disease, unspecified",0,0
I28,Other diseases of pulmonary vessels,0,0
I280,Arteriovenous fistula of pulmonary vessels,0,0
I281,Aneurysm of pulmonary artery,0,0
I288,Other specified diseases of pulmonary vessels,0,0
I289,"Disease of pulmonary vessels, unspecified",0,0
I30,Acute pericarditis,0,0
I300,Acute nonspecific idiopathic pericarditis,0,0
I301,Infective pericarditis,0,0
I308,Other forms of acute pericarditis,0,0
I309,"Acute pericarditis, unspecified",0,0
I31,Other diseases of pericardium,0,0
I310,Chronic adhesive pericarditis,0,0
I311,Chronic constrictive pericarditis,0,0
I312,"Haemopericardium, not elsewhere classified",0,0
I313,Pericardial effusion (noninflammatory),0,0
I318,Other specified diseases of pericardium,0,0
I319,"Disease of pericardium, unspecified",0,0
I32,Pericarditis in diseases classified elsewhere,0,0
I320,Pericarditis in bacterial diseases classified elsewhere,0,0
I321,Pericarditis in other infectious and parasitic diseases classified elsewhere,0,0
I328,Pericarditis in other diseases classified elsewhere,0,0
I33,Acute and subacute endocarditis,0,0
I330,Acute and subacute infective endocarditis,0,0
I339,"Acute endocarditis, unspecified",0,0
I34,Nonrheumatic mitral valve disorders,0,0
I340,Mitral (valve) insufficiency,0,0
I341,Mitral (valve) prolapse,0,0
I342,Nonrheumatic mitral (valve) stenosis,0,0
I348,Other nonrheumatic mitral valve disorders,0,0
I349,"Nonrheumatic mitral valve disorder, unspecified",0,0
I35,Nonrheumatic aortic valve disorders,0,0
I350,Aortic (valve) stenosis,0,0
I351,Aortic (valve) insufficiency,0,0
I352,Aortic (valve) stenosis with insufficiency,0,0
I358,Other aortic valve disorders,0,0
I359,"Aortic valve disorder, unspecified",0,0
I36,Nonrheumatic tricuspid valve disorders,0,0
I360,Nonrheumatic tricuspid (valve) stenosis,0,0
I361,Nonrheumatic tricuspid (valve) insufficiency,0,0
I362,Nonrheumatic tricuspid (valve) stenosis with insufficiency,0,0
I368,Other nonrheumatic tricuspid valve disorders,0,0
I369,"Nonrheumatic tricuspid valve disorder, unspecified",0,0
I37,Pulmonary valve disorders,0,0
I370,Pulmonary valve stenosis,0,0
I371,Pulmonary valve insufficiency,0,0
I372,Pulmonary valve stenosis with insufficiency,0,0
I378,Other pulmonary valve disorders,0,0
I379,"Pulmonary valve disorder, unspecified",0,0
I38,"Endocarditis, valve unspecified",0,0
I39,Endocarditis and heart valve disorders in diseases classified elsewhere,0,0
I390,Mitral valve disorders in diseases classified elsewhere,0,0
I391,Aortic valve disorders in diseases classified elsewhere,0,0
I392,Tricuspid valve disorders in diseases classified elsewhere,0,0
I393,Pulmonary valve disorders in diseases classified elsewhere,0,0
I394,Multiple valve disorders in diseases classified elsewhere,0,0
I398,"Endocarditis, valve unspecified, in diseases classified elsewhere",0,0
I40,Acute myocarditis,0,0
I400,Infective myocarditis,0,0
I401,Isolated myocarditis,0,0
I408,Other acute myocarditis,0,0
I409,"Acute myocarditis, unspecified",0,0
I41,Myocarditis in diseases classified elsewhere,0,0
I410,Myocarditis in bacterial diseases classified elsewhere,0,0
I411,Myocarditis in viral diseases classified elsewhere,0,0
I412,Myocarditis in other infectious and parasitic diseases classified elsewhere,0,0
I418,Myocarditis in other diseases classified elsewhere,0,0
I42,Cardiomyopathy,0,0
I420,Dilated cardiomyopathy,0,0
I421,Obstructive hypertrophic cardiomyopathy,0,0
I422,Other hypertrophic cardiomyopathy,0,0
I423,Endomyocardial (eosinophilic) disease,0,0
I424,Endocardial fibroelastosis,0,0
I425,Other restrictive cardiomyopathy,0,0
I426,Alcoholic cardiomyopathy,0,0
I427,Cardiomyopathy due to drugs and other external agents,0,0
I428,Other cardiomyopathies,0,0
I429,"Cardiomyopathy, unspecified",0,0
I43,Cardiomyopathy in diseases classified elsewhere,0,0
I430,Cardiomyopathy in infectious and parasitic diseases classified elsewhere,0,0
I431,Cardiomyopathy in metabolic diseases,0,0
I432,Cardiomyopathy in nutritional diseases,0,0
I438,Cardiomyopathy in other diseases classified elsewhere,0,0
I44,Atrioventricular and left bundle-branch block,0,0
I440,"Atrioventricular block, first degree",0,0
I441,"Atrioventricular block, second degree",0,0
I442,"Atrioventricular block, complete",0,0
I443,Other and unspecified atrioventricular block,0,0
I444,Left anterior fascicular block,0,0
I445,Left posterior fascicular block,0,0
I446,Other and unspecified fascicular block,0,0
I447,"Left bundle-branch block, unspecified",0,0
I45,Other conduction disorders,0,0
I450,Right fascicular block,0,0
I451,Other and unspecified right bundle-branch block,0,0
I452,Bifascicular block,0,0
I453,Trifascicular block,0,0
I454,Nonspecific intraventricular block,0,0
I455,Other specified heart block,0,0
I456,Pre-excitation syndrome,0,0
I458,Other specified conduction disorders,0,0
I459,"Conduction disorder, unspecified",0,0
I46,Cardiac arrest,0,0
I460,Cardiac arrest with successful resuscitation,0,0
I461,"Sudden cardiac death, so described",0,0
I469,"Cardiac arrest, unspecified",0,0
I47,Paroxysmal tachycardia,0,0
I470,Re-entry ventricular arrhythmia,0,0
I471,Supraventricular tachycardia,0,0
I472,Ventricular tachycardia,0,0
I479,"Paroxysmal tachycardia, unspecified",0,0
I48,Atrial fibrillation and flutter,0,0
I49,Other cardiac arrhythmias,0,0
I490,Ventricular fibrillation and flutter,0,0
I491,Atrial premature depolarization,0,0
I492,Junctional premature depolarization,0,0
I493,Ventricular premature depolarization,0,0
I494,Other and unspecified premature depolarization,0,0
I495,Sick sinus syndrome,0,0
I498,Other specified cardiac arrhythmias,0,0
I499,"Cardiac arrhythmia, unspecified",0,0
I50,Heart failure,0,1
I500,Congestive heart failure,0,1
I501,Left ventricular failure,0,1
I509,"Heart failure, unspecified",0,1
I51,Complications and ill-defined descriptions of heart disease,0,0
I510,"Cardiac septal defect, acquired",0,0
I511,"Rupture of chordae tendineae, not elsewhere classified",0,0
I512,"Rupture of papillary muscle, not elsewhere classified",0,0
I513,"Intracardiac thrombosis, not elsewhere classified",0,0
I514,"Myocarditis, unspecified",0,0
I515,Myocardial degeneration,0,0
I516,"Cardiovascular disease, unspecified",0,0
I517,Cardiomegaly,0,0
I518,Other ill-defined heart diseases,0,0
I519,"Heart disease, unspecified",0,0
I52,Other heart disorders in diseases classified elsewhere,0,0
I520,Other heart disorders in bacterial diseases classified elsewhere,0,0
I521,Other heart disorders in other infectious and parasitic diseases classified elsewhere,0,0
I528,Other heart disorders in other diseases classified elsewhere,0,0
I60,Subarachnoid haemorrhage,0,0
I600,Subarachnoid haemorrhage from carotid siphon and bifurcation,0,0
I601,Subarachnoid haemorrhage from middle cerebral artery,0,0
I602,Subarachnoid haemorrhage from anterior communicating artery,0,0
I603,Subarachnoid haemorrhage from posterior communicating artery,0,0
I604,Subarachnoid haemorrhage from basilar artery,0,0
I605,Subarachnoid haemorrhage from vertebral artery,0,0
I606,Subarachnoid haemorrhage from other intracranial arteries,0,0
I607,"Subarachnoid haemorrhage from intracranial artery, unspecified",0,0
I608,Other subarachnoid haemorrhage,0,0
I609,"Subarachnoid haemorrhage, unspecified",0,0
I61,Intracerebral haemorrhage,0,0
I610,"Intracerebral haemorrhage in hemisphere, subcortical",0,0
I611,"Intracerebral haemorrhage in hemisphere, cortical",0,0
