comparator,outcome,analysis,adjustment,time,hr,lc,uc
pneumonia,stroke,stroke_cens_gp,age_sex,0,1.2147105,1.0568494,1.3961511
pneumonia,stroke,stroke_cens_gp,age_sex,30,.74549508,.58051383,.95736378
pneumonia,stroke,stroke_cens_gp,age_sex,60,.84422952,.61311507,1.1624628
pneumonia,stroke,stroke_cens_gp,age_sex,90,.9931308,.70111519,1.4067714
pneumonia,stroke,stroke_cens_gp,age_sex,120,1.093488,.88127965,1.3567951
pneumonia,dvt,dvt_cens_gp,age_sex,0,.94067776,.78550011,1.1265112
pneumonia,dvt,dvt_cens_gp,age_sex,30,.86004579,.63247854,1.1694922
pneumonia,dvt,dvt_cens_gp,age_sex,60,.71070081,.46112841,1.095347
pneumonia,dvt,dvt_cens_gp,age_sex,90,.89573497,.54384267,1.4753184
pneumonia,dvt,dvt_cens_gp,age_sex,120,.99000072,.74897718,1.3085866
pneumonia,pe,pe_cens_gp,age_sex,0,1.4936546,1.3416938,1.6628268
pneumonia,pe,pe_cens_gp,age_sex,30,.94105494,.75344157,1.1753857
pneumonia,pe,pe_cens_gp,age_sex,60,.88730317,.63158524,1.2465569
pneumonia,pe,pe_cens_gp,age_sex,90,.77972239,.53543603,1.1354616
pneumonia,pe,pe_cens_gp,age_sex,120,.6865111,.52963567,.88985223
pneumonia,heart_failure,heart_failure_cens_gp,age_sex,0,.85798287,.80688,.91232234
pneumonia,heart_failure,heart_failure_cens_gp,age_sex,30,.75564986,.6800189,.83969247
pneumonia,heart_failure,heart_failure_cens_gp,age_sex,60,.74337178,.64784116,.85298932
pneumonia,heart_failure,heart_failure_cens_gp,age_sex,90,.87430334,.7383728,1.0352579
pneumonia,heart_failure,heart_failure_cens_gp,age_sex,120,.69680732,.62618518,.77539438
pneumonia,mi,mi_cens_gp,age_sex,0,1.1446298,.94918573,1.3803173
pneumonia,mi,mi_cens_gp,age_sex,30,.79188669,.56566608,1.1085773
pneumonia,mi,mi_cens_gp,age_sex,60,.67243326,.45451447,.99483413
pneumonia,mi,mi_cens_gp,age_sex,90,.71353924,.44015267,1.156731
pneumonia,mi,mi_cens_gp,age_sex,120,.76751167,.58998489,.99845642
pneumonia,aki,aki_cens_gp,age_sex,0,1.297917,1.2159724,1.385384
pneumonia,aki,aki_cens_gp,age_sex,30,.72513449,.64301145,.81774598
pneumonia,aki,aki_cens_gp,age_sex,60,.74720961,.64208287,.86954856
pneumonia,aki,aki_cens_gp,age_sex,90,.71678203,.59712058,.86042339
pneumonia,aki,aki_cens_gp,age_sex,120,.71475238,.64531398,.79166251
pneumonia,t2dm,t2dm,age_sex,0,1.5472839,1.3073989,1.8311836
pneumonia,t2dm,t2dm,age_sex,30,1.3900827,1.0571249,1.8279109
pneumonia,t2dm,t2dm,age_sex,60,1.362492,.92211872,2.0131729
pneumonia,t2dm,t2dm,age_sex,90,1.670121,1.1422806,2.4418728
pneumonia,t2dm,t2dm,age_sex,120,1.3879578,1.1181492,1.7228712
gen_population,stroke,stroke_cens_gp,age_sex,0,9.7996922,8.6186047,11.142634
gen_population,stroke,stroke_cens_gp,age_sex,30,3.7850256,3.1312659,4.5752802
gen_population,stroke,stroke_cens_gp,age_sex,60,2.852725,2.262094,3.5975692
gen_population,stroke,stroke_cens_gp,age_sex,90,2.8373289,2.1674654,3.714216
gen_population,stroke,stroke_cens_gp,age_sex,120,2.0259707,1.7530727,2.3413503
gen_population,dvt,dvt_cens_gp,age_sex,0,12.208842,9.9269552,15.015263
gen_population,dvt,dvt_cens_gp,age_sex,30,6.8615332,5.2119856,9.0331488
gen_population,dvt,dvt_cens_gp,age_sex,60,3.2777956,2.2442193,4.7873859
gen_population,dvt,dvt_cens_gp,age_sex,90,2.9061236,1.9322178,4.3709121
gen_population,dvt,dvt_cens_gp,age_sex,120,2.8553467,2.3106451,3.5284536
gen_population,pe,pe_cens_gp,age_sex,0,39.746967,33.13187,47.682835
gen_population,pe,pe_cens_gp,age_sex,30,10.047091,7.9173489,12.749727
gen_population,pe,pe_cens_gp,age_sex,60,5.9509549,4.3407307,8.1585026
gen_population,pe,pe_cens_gp,age_sex,90,6.2566218,4.395997,8.9047651
gen_population,pe,pe_cens_gp,age_sex,120,3.0028496,2.4356964,3.7020645
gen_population,heart_failure,heart_failure_cens_gp,age_sex,0,9.3964577,8.8698473,9.9543333
gen_population,heart_failure,heart_failure_cens_gp,age_sex,30,4.3498764,3.9956412,4.7355161
gen_population,heart_failure,heart_failure_cens_gp,age_sex,60,3.7466538,3.3680518,4.1678143
gen_population,heart_failure,heart_failure_cens_gp,age_sex,90,3.5536702,3.1272318,4.038259
gen_population,heart_failure,heart_failure_cens_gp,age_sex,120,2.3315713,2.1551373,2.5224497
gen_population,mi,mi_cens_gp,age_sex,0,7.0547085,5.9813075,8.3207417
