comparator,outcome,analysis,adjustment,time,hr,lc,uc
pneumonia,stroke,stroke_cens_gp,full,0,1.2278849,1.0613543,1.4205449
pneumonia,stroke,stroke_cens_gp,full,30,.7609207,.58256608,.99387914
pneumonia,stroke,stroke_cens_gp,full,60,.83370215,.58646667,1.185164
pneumonia,stroke,stroke_cens_gp,full,90,1.0770942,.75664467,1.5332586
pneumonia,stroke,stroke_cens_gp,full,120,.98612773,.78739059,1.235026
pneumonia,dvt,dvt_cens_gp,full,0,1.1115167,.92268467,1.3389941
pneumonia,dvt,dvt_cens_gp,full,30,.97997326,.70503765,1.3621225
pneumonia,dvt,dvt_cens_gp,full,60,.81539935,.52023202,1.2780378
pneumonia,dvt,dvt_cens_gp,full,90,.99770135,.57752872,1.7235645
pneumonia,dvt,dvt_cens_gp,full,120,.97736508,.72004372,1.3266451
pneumonia,pe,pe_cens_gp,full,0,1.5087849,1.348385,1.6882656
pneumonia,pe,pe_cens_gp,full,30,.89891428,.69931906,1.1554767
pneumonia,pe,pe_cens_gp,full,60,1.0028938,.7031374,1.4304403
pneumonia,pe,pe_cens_gp,full,90,.80596137,.54232246,1.1977628
pneumonia,pe,pe_cens_gp,full,120,.69900477,.5251925,.93034005
pneumonia,heart_failure,heart_failure_cens_gp,full,0,.96426165,.90481353,1.0276157
pneumonia,heart_failure,heart_failure_cens_gp,full,30,.81040186,.7239207,.90721416
pneumonia,heart_failure,heart_failure_cens_gp,full,60,.79221958,.68576443,.91520041
pneumonia,heart_failure,heart_failure_cens_gp,full,90,.8875559,.74135268,1.0625921
pneumonia,heart_failure,heart_failure_cens_gp,full,120,.702061,.62601399,.78734607
pneumonia,mi,mi_cens_gp,full,0,1.207415,.99412066,1.4664727
pneumonia,mi,mi_cens_gp,full,30,.76834041,.53134769,1.1110371
pneumonia,mi,mi_cens_gp,full,60,.68173438,.45170653,1.0289021
pneumonia,mi,mi_cens_gp,full,90,.70163685,.4208698,1.1697067
pneumonia,mi,mi_cens_gp,full,120,.76509041,.57881206,1.0113184
pneumonia,aki,aki_cens_gp,full,0,1.3657329,1.2744031,1.4636079
pneumonia,aki,aki_cens_gp,full,30,.76172775,.66967458,.86643451
pneumonia,aki,aki_cens_gp,full,60,.78718299,.66828197,.927239
pneumonia,aki,aki_cens_gp,full,90,.74810773,.61486155,.91022956
pneumonia,aki,aki_cens_gp,full,120,.70925063,.63557184,.79147071
pneumonia,t2dm,t2dm,full,0,1.4136777,1.166108,1.7138073
pneumonia,t2dm,t2dm,full,30,1.2413126,.91891581,1.6768208
pneumonia,t2dm,t2dm,full,60,1.2215799,.7981168,1.8697231
pneumonia,t2dm,t2dm,full,90,1.5199558,1.0220169,2.2604961
pneumonia,t2dm,t2dm,full,120,1.2193193,.95897704,1.5503392
gen_population,stroke,stroke_cens_gp,full,0,6.3426104,5.2592468,7.6491385
gen_population,stroke,stroke_cens_gp,full,30,2.8900352,2.1584873,3.8695173
gen_population,stroke,stroke_cens_gp,full,60,2.2891152,1.6537987,3.1684923
gen_population,stroke,stroke_cens_gp,full,90,1.9506136,1.3606428,2.7963941
gen_population,stroke,stroke_cens_gp,full,120,1.4949701,1.2571651,1.7777581
gen_population,dvt,dvt_cens_gp,full,0,12.028168,8.6273289,16.769594
gen_population,dvt,dvt_cens_gp,full,30,5.6831279,3.6771457,8.7834272
gen_population,dvt,dvt_cens_gp,full,60,1.8712257,1.0690776,3.2752397
gen_population,dvt,dvt_cens_gp,full,90,2.1156173,1.1480657,3.8985887
gen_population,dvt,dvt_cens_gp,full,120,1.837238,1.4009075,2.4094691
gen_population,pe,pe_cens_gp,full,0,32.480236,24.188978,43.613491
gen_population,pe,pe_cens_gp,full,30,7.4755588,5.0493174,11.067631
gen_population,pe,pe_cens_gp,full,60,3.9821818,2.4378178,6.5049047
gen_population,pe,pe_cens_gp,full,90,4.0721636,2.468859,6.7166729
gen_population,pe,pe_cens_gp,full,120,1.8107723,1.3485849,2.4313607
gen_population,heart_failure,heart_failure_cens_gp,full,0,3.9990602,3.6583354,4.3715186
gen_population,heart_failure,heart_failure_cens_gp,full,30,2.0584307,1.8177297,2.3310051
gen_population,heart_failure,heart_failure_cens_gp,full,60,1.7148014,1.4785894,1.9887496
gen_population,heart_failure,heart_failure_cens_gp,full,90,1.8620833,1.5583842,2.2249677
gen_population,heart_failure,heart_failure_cens_gp,full,120,1.2711052,1.1526566,1.4017258
gen_population,mi,mi_cens_gp,full,0,4.5255613,3.5291007,5.8033786
gen_population,mi,mi_cens_gp,full,30,1.6651269,1.1573279,2.3957322
gen_population,mi,mi_cens_gp,full,60,1.1693903,.74552447,1.834244
gen_population,mi,mi_cens_gp,full,90,.94562584,.60367346,1.4812781
gen_population,mi,mi_cens_gp,full,120,1.0218968,.81663328,1.278754
gen_population,aki,aki_cens_gp,full,0,9.6304913,8.5340061,10.867857
gen_population,aki,aki_cens_gp,full,30,2.6286495,2.2426779,3.081048
gen_population,aki,aki_cens_gp,full,60,2.4065683,2.0100207,2.8813491
gen_population,aki,aki_cens_gp,full,90,1.8500597,1.5004424,2.2811413
gen_population,aki,aki_cens_gp,full,120,1.6317682,1.4740525,1.8063587
gen_population,t2dm,t2dm,full,0,6.0637898,4.7384062,7.7598982
gen_population,t2dm,t2dm,full,30,2.7385178,1.9879982,3.7723773
gen_population,t2dm,t2dm,full,60,1.5844718,1.0716882,2.3426135
gen_population,t2dm,t2dm,full,90,2.1620438,1.4190053,3.294162
gen_population,t2dm,t2dm,full,120,1.7337263,1.4066135,2.1369102
