group,outcome,time,variable,category,personTime,numEvents,rate,lc,uc,rate_ppm,lc_ppm,uc_ppm
pneumonia,stroke,Full period,Overall,0,19181580,3224,.00016807791,.00016237512,.00017398098,.51158714,.49422926,.52955461
pneumonia,stroke,Full period,agegroup,1,2184034,101,.000046244702,.000038050843,.000056203025,.14075731,.11581725,.17106795
pneumonia,stroke,Full period,agegroup,2,1926332,137,.000071119619,.000060154256,.000084083833,.21647035,.18309452,.25593016
pneumonia,stroke,Full period,agegroup,3,3064914,334,.00010897533,.000097893193,.00012131203,.33169365,.2979624,.36924347
pneumonia,stroke,Full period,agegroup,4,4985658,824,.00016527408,.00015436602,.00017695292,.50305295,.46985155,.53860044
pneumonia,stroke,Full period,agegroup,5,7020643,1828,.000260375,.00024870844,.00027258883,.79251641,.75700635,.82969224
pneumonia,stroke,Full period,male,0,9688860,1496,.00015440413,.00014677484,.00016242999,.46996757,.4467459,.4943963
pneumonia,stroke,Full period,male,1,9492721,1728,.00018203421,.00017365061,.00019082257,.55406666,.52854902,.58081621
pneumonia,stroke,Full period,ethnicity,1,12835707,2085,.00016243749,.00015561262,.00016956168,.4944191,.47364593,.51610339
pneumonia,stroke,Full period,ethnicity,2,73200,17,.00023224043,.00014437472,.00037358078,.70688182,.43944055,1.1370865
pneumonia,stroke,Full period,ethnicity,3,745991,118,.00015817885,.00013206537,.00018945578,.48145688,.40197396,.57665604
pneumonia,stroke,Full period,ethnicity,4,186921,39,.0002086443,.0001524422,.00028556687,.63506109,.46399593,.86919415
pneumonia,stroke,Full period,ethnicity,5,118256,16,.00013529969,.00008288891,.00022084989,.41181844,.25229311,.67221189
pneumonia,stroke,Full period,ethnicity,6,5221506,949,.00018174833,.0001705451,.00019368751,.55319649,.51909667,.58953637
pneumonia,stroke,Full period,af,0,15513477,2192,.00014129651,.00013550353,.00014733712,.43007123,.41243887,.44845736
pneumonia,stroke,Full period,af,1,3668104,1032,.00028134426,.00026469229,.00029904381,.8563416,.80565715,.9102146
pneumonia,stroke,Full period,anticoag_rx,0,15909590,2453,.00015418374,.00014820136,.0001604076,.46929675,.45108789,.48824063
pneumonia,stroke,Full period,anticoag_rx,1,3271991,771,.00023563634,.00021957708,.00025287014,.7172181,.66833776,.76967353
pneumonia,stroke,Full period,long_hosp_stay,0,9892755,990,.00010007324,.000094029681,.00010650522,.30459791,.28620285,.32417527
pneumonia,stroke,Full period,long_hosp_stay,1,9288826,2234,.00024050401,.00023073491,.00025068675,.73203409,.70229936,.76302779
pneumonia,stroke,0 days,Overall,0,3493250,1314,.000376154,.00035635571,.00039705227,1.1449187,1.0846577,1.2085278
pneumonia,stroke,30 days,Overall,0,2900383,555,.00019135403,.00017607842,.00020795489,.58243382,.53593868,.6329627
pneumonia,stroke,60 days,Overall,0,2471482,345,.00013959236,.00012561298,.00015512751,.42488426,.3823345,.47216934
pneumonia,stroke,90 days,Overall,0,2132633,282,.00013223091,.00011766429,.00014860086,.40247783,.35814068,.45230386
pneumonia,stroke,120 days,Overall,0,8183833,728,.000088955872,.000082723134,.000095658208,.27075943,.25178853,.29115966
pneumonia,stroke_no_gp,Full period,Overall,0,19259730,2650,.0001375928,.00013245259,.00014293246,.41879809,.40315259,.4350507
pneumonia,stroke_no_gp,Full period,agegroup,1,2187756,73,.000033367523,.000026527625,.000041971027,.1015624,.080743462,.12774931
pneumonia,stroke_no_gp,Full period,agegroup,2,1930549,95,.0000492088,.000040244944,.000060169197,.14977929,.12249555,.18313999
pneumonia,stroke_no_gp,Full period,agegroup,3,3076832,253,.000082227431,.000072694602,.000093010356,.25027975,.2212642,.28310028
pneumonia,stroke_no_gp,Full period,agegroup,4,5010071,650,.00012973868,.00012013861,.00014010587,.3948921,.3656719,.42644724
pneumonia,stroke_no_gp,Full period,agegroup,5,7054522,1579,.00022382806,.00021305584,.00023514492,.68127668,.6484887,.71572238
pneumonia,stroke_no_gp,Full period,male,0,9721918,1251,.00012867831,.0001217417,.00013601016,.39166459,.37055129,.41398093
pneumonia,stroke_no_gp,Full period,male,1,9537812,1399,.00014667935,.00013919111,.00015457043,.44645527,.42366293,.47047374
pneumonia,stroke_no_gp,Full period,ethnicity,1,12884577,1717,.0001332601,.00012710362,.00013971477,.40561041,.38687164,.42525685
pneumonia,stroke_no_gp,Full period,ethnicity,2,73561,14,.00019031824,.00011271643,.00032134651,.57928115,.34308064,.97809845
pneumonia,stroke_no_gp,Full period,ethnicity,3,747860,102,.00013638916,.00011233067,.0001656004,.41513452,.34190649,.5040462
pneumonia,stroke_no_gp,Full period,ethnicity,4,187850,31,.00016502528,.00011605669,.00023465554,.50229567,.35324755,.7142328
pneumonia,stroke_no_gp,Full period,ethnicity,5,118924,11,.000092496048,.000051224328,.00016702063,.28153485,.15591405,.50836903
pneumonia,stroke_no_gp,Full period,ethnicity,6,5246958,775,.00014770463,.00013766326,.00015847843,.44957596,.41901255,.48236874
pneumonia,stroke_no_gp,Full period,af,0,15573340,1762,.00011314207,.00010798065,.00011855021,.34437618,.32866612,.36083719
pneumonia,stroke_no_gp,Full period,af,1,3686390,888,.00024088607,.00022555228,.00025726229,.73319697,.68652475,.78304207
pneumonia,stroke_no_gp,Full period,anticoag_rx,0,15975142,1989,.00012450594,.00011915275,.00013009962,.37896496,.36267117,.39599073
pneumonia,stroke_no_gp,Full period,anticoag_rx,1,3284588,661,.00020124289,.00018647159,.00021718432,.61253303,.56757289,.66105479
pneumonia,stroke_no_gp,Full period,long_hosp_stay,0,9914437,828,.000083514577,.000078015517,.000089401248,.25419748,.23745973,.27211505
pneumonia,stroke_no_gp,Full period,long_hosp_stay,1,9345293,1822,.00019496446,.00018621469,.00020412536,.59342307,.56679094,.62130654
pneumonia,stroke_no_gp,0 days,Overall,0,3499202,1007,.0002877799,.00027054333,.00030611464,.87593007,.82346624,.93173647
pneumonia,stroke_no_gp,30 days,Overall,0,2909364,458,.00015742272,.00014364594,.0001725208,.47915542,.43722233,.52511019
pneumonia,stroke_no_gp,60 days,Overall,0,2481240,298,.00012010124,.00010721084,.00013454151,.36555815,.326323,.4095107
pneumonia,stroke_no_gp,90 days,Overall,0,2141867,246,.00011485307,.00010136126,.00013014073,.34958404,.30851832,.39611584
pneumonia,stroke_no_gp,120 days,Overall,0,8228057,641,.000077904173,.000072100833,.000084174622,.23712082,.21945691,.25620651
pneumonia,stroke_cens_gp,Full period,Overall,0,19223156,2939,.00015288853,.00014745982,.00015851708,.46535447,.44883084,.48248637
pneumonia,stroke_cens_gp,Full period,agegroup,1,2185836,86,.000039344213,.000031848827,.000048603586,.11975395,.096939869,.14793716
pneumonia,stroke_cens_gp,Full period,agegroup,2,1928135,116,.000060161761,.000050152026,.000072169321,.18311736,.15265024,.21966538
pneumonia,stroke_cens_gp,Full period,agegroup,3,3072043,291,.000094725234,.000084443724,.00010625858,.28831992,.25702557,.32342455
pneumonia,stroke_cens_gp,Full period,agegroup,4,4998751,735,.00014703673,.00013678195,.00015806033,.44754305,.41633007,.48109612
pneumonia,stroke_cens_gp,Full period,agegroup,5,7038391,1711,.00024309533,.00023184536,.0002548912,.73992139,.7056793,.77582508
pneumonia,stroke_cens_gp,Full period,male,0,9706736,1372,.00014134514,.00013406044,.0001490257,.43021926,.40804645,.45359698
pneumonia,stroke_cens_gp,Full period,male,1,9516420,1567,.00016466276,.00015670847,.0001730208,.50119227,.4769814,.52663207
pneumonia,stroke_cens_gp,Full period,ethnicity,1,12862878,1900,.00014771189,.00014121718,.00015450529,.44959807,.42982981,.47027549
pneumonia,stroke_cens_gp,Full period,ethnicity,2,73280,16,.00021834062,.00013376243,.00035639771,.66457427,.40713939,1.0847856
pneumonia,stroke_cens_gp,Full period,ethnicity,3,747123,108,.00014455451,.00011970843,.00017455751,.43998778,.36436254,.53130943
pneumonia,stroke_cens_gp,Full period,ethnicity,4,187180,36,.00019232824,.00013873183,.00026663058,.58539909,.42226502,.81155682
pneumonia,stroke_cens_gp,Full period,ethnicity,5,118827,13,.00010940275,.000063525396,.00018841222,.33299461,.19335543,.57347971
pneumonia,stroke_cens_gp,Full period,ethnicity,6,5233868,866,.00016546081,.00015479971,.00017685613,.50362134,.47117162,.53830588
pneumonia,stroke_cens_gp,Full period,af,0,15546868,1969,.00012664931,.00012117698,.00013236876,.38548884,.36883244,.40289742
pneumonia,stroke_cens_gp,Full period,af,1,3676288,970,.00026385312,.00024776033,.00028099114,.80310291,.75412047,.85526675
pneumonia,stroke_cens_gp,Full period,anticoag_rx,0,15946634,2204,.00013821099,.00013255965,.00014410325,.42067972,.40347844,.43861428
pneumonia,stroke_cens_gp,Full period,anticoag_rx,1,3276522,735,.00022432323,.00020867826,.00024114113,.68278384,.63516444,.73397332
pneumonia,stroke_cens_gp,Full period,long_hosp_stay,0,9899870,947,.000095657822,.000089755311,.0001019485,.2911585,.27319273,.31030574
pneumonia,stroke_cens_gp,Full period,long_hosp_stay,1,9323286,1992,.00021365857,.00020447899,.00022325024,.65032327,.62238294,.67951792
