outcome,type,numEvents,percent
stroke,Overall,633,100
stroke,GP,,
stroke,HOSP,,
stroke,ONS,,
dvt,Overall,286,100
dvt,GP,6,2.0979021
dvt,HOSP,,
dvt,ONS,0,0
pe,Overall,668,100
pe,GP,9,1.3473054
pe,HOSP,,
pe,ONS,,
heart_failure,Overall,2768,100
heart_failure,GP,16,.5780347
heart_failure,HOSP,8,.28901735
heart_failure,ONS,30,1.083815
mi,Overall,343,100
mi,GP,,
mi,HOSP,,
mi,ONS,8,2.3323615
aki,Overall,2084,100
aki,HOSP,0,0
aki,ONS,37,1.7754319
t1dm,Overall,230,100
t1dm,GP,0,0
t1dm,HOSP,0,0
t1dm,ONS,,
t2dm,Overall,3883,100
t2dm,GP,,
t2dm,HOSP,,
t2dm,ONS,33,.84985834
