outcome,type,numEvents,percent
stroke,Overall,281,100
stroke,GP,,
stroke,HOSP,,
stroke,ONS,,
dvt,Overall,94,100
dvt,GP,,
dvt,HOSP,0,0
dvt,ONS,0,0
pe,Overall,127,100
pe,GP,,
pe,HOSP,,
pe,ONS,,
heart_failure,Overall,601,100
heart_failure,GP,,
heart_failure,HOSP,,
heart_failure,ONS,9,1.4975041
mi,Overall,106,100
mi,GP,0,0
mi,HOSP,0,0
mi,ONS,,
aki,Overall,361,100
aki,HOSP,0,0
aki,ONS,12,3.3240998
t1dm,Overall,83,100
t1dm,GP,0,0
t1dm,HOSP,0,0
t1dm,ONS,0,0
t2dm,Overall,1458,100
t2dm,GP,,
t2dm,HOSP,0,0
t2dm,ONS,6,.41152263
